,slug,name,last_name,profile_picture,company_picture,company_name,company_role,bio,verticals,vertical
54,ligia-lunardi-recchia,Ligia,Lunardi,TGlnaWEgTHVuYXJkaSBSZWNjaGlhIDI1NTkxIDc4OTMz.png,TGlnaWEgTHVuYXJkaSBSZWNjaGlhIDI1NTkxIDkwODYwIGNvbXA=.png,LigiaLR,Mentora de Carreira & Comunicação ,"Mentora de Carreira & Comunicação com 15 anos de experiência na área de desenvolvimento de pessoas. Trabalhou com educação corporativa e carreira na Vale e na Saint-Gobain, foi consultora técnica e vendedora na Jason Associates (Educação Corporativa) e Caliper (Testes de Personalidade) e avaliadora freelancer em processos seletivos da Fundação Estudar por quase 3 anos. É formada em Jornalismo pela UFSC, pós graduada em Educação Corporativa pelo Senac-SP e especialista em Dinâmica dos Grupos pela SBDG. ",['CONSULTANT'],carreira
55,rodrigo-fernandez,Rodrigo,Fernandez,Um9kcmlnbyBGZXJuYW5kZXogNDAwNTEgNTQ5MzQ=.jpeg,Um9kcmlnbyBGZXJuYW5kZXogNDAwNTEgODMwNTUgY29tcA==.jpeg,Mercado Pago,Senior Data Analyst,"Senior Data Analyst, com experiência em empresas como Itaú, Estadão, Alcatel, Vivo e B3. Formado em Sistemas de Informação e possui MBA em Big Data - Data Science pela FIAP.",['DS'],ciência de dados
56,adriana-ribeiro,Adriana,Ribeiro,QWRyaWFuYSBSaWJlaXJvIFBlcGUgMTU1NzEgMzgxODU=.jpeg,QWRyaWFuYSBSaWJlaXJvIFBlcGUgMTU1NzEgNTI1MDkgY29tcA==.jpeg,Nubank,Product Manager,"Product Manager com experiência nas empresas Nubank, Easynvest e SPC Brasil, Adriana é formada em Publicidade e Propaganda pelas Belas Artes com pós em Marketing pelo SENAC. Começou em produtos digitais há mais de 6 anos e ama resolver problemas que entreguem valor para os clientes! Tem experiência nos segmentos de crédito, cobrança e investimentos. Sua especialidade é construir um bom processo de discovery que valide as hipóteses de problema, priorizar iniciativas e manter um roadmap bem estruturado para potencializar os resultados do time.",['PM'],gestão de produtos
57,fernanda-ribeiro,Fernanda,Ribeiro,RmVybmFuZGEgUmliZWlybyBSdWZmbyBSb2JlcnRvIDEwMSA4NDg5NSBhZG0=.jpeg,RmVybmFuZGEgUmliZWlybyA5NTUgNjkwNjYgY29tcA==.png,Itaú Unibanco,HR Business Partner,"HR Business Partner com experiência em empresas como Itaú, Banco Safra e Hippo Drs, Fernanda é formada em Psicologia, possui mestrado em educação e Pós-Graduação em Finanças pela USP. ",['CONSULTANT'],carreira
58,victor-tademos,Victor,Tademos,VmljdG9yIFRhZGVtb3MgMjUwIDkyNzMwIGFkbQ==.jpeg,VmljdG9yIFRhZGVtb3MgMTM0OTkgMTcxNzUgY29tcA==.png,Zé Delivery,Senior Product Designer,"Senior Product Designer com experiência em empresas como Zé Delivery, Carrefour e Gympass, Victor é formado em Publicidade e Propaganda pela Anhembi Morumbi.",['UX'],design
59,guilherme-garcia,Guilherme,Garcia,R3VpbGhlcm1lIEdhcmNpYSAyMzIzMCA0NDkwMA==.jpeg,R3VpbGhlcm1lIEdhcmNpYSAyMzIzMCAyODE2MyBjb21w.png,Rocket.Chat,Gerente de Data & Analytics,"Gerente de Data & Analytics, com experiência em empresas como Rocket.Chat, Itaú e American Tower, formado em Desenvolvimento de Sistemas pela UNINOVE e MBA em Data Science pela USP.",['DS'],ciência de dados
60,leandro-zanon-siqueira,Leandro,Zanon,TGVhbmRybyBaYW5vbiBTaXF1ZWlyYSA5NzQyIDc1OTQ4.jpeg,TGVhbmRybyBaYW5vbiA5NzQyIDIzOTc2IGNvbXA=.jpeg,Itaú,Senior Data Scientist,"Senior Data Scientist com experiência em empresas como Itaú, PicPay e Propz, Leandro é formado em Estatística pela UNICAMP.",['DS'],ciência de dados
61,teresa-alencar,Teresa,Alencar,VGVyZXNhIEFsZW5jYXIgMjIzMzEgNTAyOQ==.jpeg,VGVyZXNhIEFsZW5jYXIgMjIzMzEgMjg3ODQgY29tcA==.png,Loft,Product Designer,"Product Designer com experiência em empresas como Loft, Cesar e In Loco, Teresa é  Pós-Graduada em Design para Artefatos Digitais ",['UX'],design
62,eduardo-barros,Eduardo,Barros,RWR1YXJkbyBSb2RyaWd1ZXMgMjIzMTYgMjQ3Mzc=.jpeg,RWR1YXJkbyBSb2RyaWd1ZXMgMjIzMTYgNzUxMDIgY29tcA==.png,Banco do Brasil,UX Designer Senior,"UX Designer Senior com eperiência em empresas como Banco do Brasil, Telefônica, Uol, Mutant e Natura, Eduardo é graduado pelo SENAC  e possui pós-graduação em Arquitetura de Informação e UX pela Impacta.",['UX'],design
63,caere-magalhaes,Caerê,Magalhães,Q2FlcsOqIE1hZ2FsaMOjZXMgMzQ0NjggMjc1NA==.jpeg,Q2FlcsOqIE1hZ2FsaMOjZXMgMzQ0NjggMzIzNzUgY29tcA==.png,will bank,Data Analyst,"Senior Data Analyst com experiência em empresas como Will Bank, pag! e FORTLEV, Caerê é formado em Estatístico pela UFES.",['DS'],ciência de dados
64,gabriel-do-nascimento,Gabriel,Roger do Nascimento,R2FicmllbCBkbyBOYXNjaW1lbnRvIDQwMTcwIDM3NzEy.png,R2FicmllbCBkbyBOYXNjaW1lbnRvIDQwMTcwIDk5MDQgY29tcA==.png,PagSeguro PagBank Uol,Data Engineer,"Data Engineer e Back-End Developer, com experiência em empresas como PagSeguro Pagbank | Uol, Ponte 21 e Mastertech ao qual participou de projetos para grandes empresas como Santander, Bayer, Facebook, Itaú, IBM e entre outras, Gabriel é formado em sistemas de informações pela Universidade Municipal de São Caetano do Sul e possui MBA em Inteligência Artificial e Machine Learning pela FIAP.","['DS', 'WD']",ciência de dados
65,alex-soares,Alex,Soares,QWxleCBTb2FyZXMgMzI3NTIgMTI5MjQ=.png,QWxleCBTb2FyZXMgMzI3NTIgMzIyMzQgY29tcA==.jpeg,TOTVS,Design Lead,"Design Lead com experiência em empresas como TOTVS, Beblue e Zupi, Alex é formado em Ciência da Computação, Design Gráfico, possui MBA em Comunicação e Marketing em Mídias Digitais e é especialista em Neurociências e Comportamento.",['UX'],design
66,vitor-rangel,Vitor,Rangel,Vml0b3IgUmFuZ2VsIDE1NTAyIDU4NTI1.jpeg,Vml0b3IgUmFuZ2VsIDE1NTAyIDQ2OTMgY29tcA==.jpeg,Hotmart,Product Manager,"Product Manager, com experiência em empresas como Hotmart, dti digital e Samba Tech, Vitor é formado em Engenharia Mecânica pela UFMG e possui MBA em Gestão de Projetos pela FGV.",['PM'],gestão de produtos
67,kevin-ritschel,Kevin,Ritschel,S2V2aW4gUml0c2NoZWwgMTE3NDUgMTQyMjY=.jpeg,S2V2aW4gUml0c2NoZWwgMTE3NDUgNTY2OTIgY29tcA==.png,Nubank,Product Designer,"Product Designer com experiência em  empresas como Nubank, Natura, Porto Seguro e Vale, Kevin
é graduado em Design pela USP.",['UX'],design
68,danielle-rosas,Danielle,Rosas,RGFuaWVsbGUgUm9zYXMgNzUzIDg0NTA4.jpeg,RGFuaWVsbGUgUm9zYXMgNzUzIDMwNTExIGNvbXA=.jpeg,dunnhumby,HR Business Partner,"Olá, eu sou a Dani Rosas, apaixonada por desenvolvimento humano e que adora um desafio para planejar uma transição de carreira ou emprego! 
Eu acredito que autoconhecimento é extremamente importante na hora de falarmos sobre carreira e todo o meu trabalho é fundamentado nisto. As minhas formações internacionais em Coaching pelo Erickson Coaching International e Barrett Values Center, me ajudam a trazer reflexões importantes para você neste processo.
Além de ter mais de 10 anos de experiência em empresas nacionais e multinacionais trabalhando na área de RH apoiando os líderes e pessoas no seu desenvolvimento, eu também atuo como Consultora e Mentora de Carreira e em trabalhos sociais. 
Na consultoria de carreira, passo todo meu conhecimento e experiência para que você possa elaborar um currículo de destaque, deixar o LinkedIn campeão que chama a atenção dos recrutadores e fazer uma entrevista com excelência. Já atendi pessoas de fora do Brasil e de diferentes nacionalidades que tiverem sucesso em seus objetivos. Seja conseguindo um novo emprego, fazendo uma transição ou até mesmo uma promoção!
Você pode ver alguns depoimentos de pessoas que atendi no meu linkedin.com/in/daniellerosas/ e se você sentir o chamado, ficarei muito feliz e animada em te conhecer para juntxs traçarmos um plano e alcançar o seu objetivo.
Bora conversar?",['CONSULTANT'],carreira
69,fernanda-colopy,Fernanda,Colopy,RmVybmFuZGEgQ29sb3B5IDExMzU1IDgwOTYy.jpeg,RmVybmFuZGEgQ29sb3B5IDExMzU1IDM3MTA5IGNvbXA=.jpeg,Quinto Andar,Senior Product Manager,"Senior Product Manager com experiências em empresas como QuintoAndar, Americanas, Grupo Boticário e Carrefour, Fernanda possui especialização na Harvard Business School em Financial Accounting, Business Analytics and Economics for Managers.",['PM'],gestão de produtos
70,henrique-alves,Henrique,Alves,SGVucmlxdWUgQWx2ZXMgMTc2OTkgNDIwNTI=.jpeg,SGVucmlxdWUgQWx2ZXMgMTc2OTkgODI0MSBjb21w.jpeg,Loft,Senior Software Engineer,"Senior Software Engineer, com experiência na empresa DTI Digital, atuando nos clientes Localiza Aluguel de Carros, Yara Fertilizantes e Laboratório Hermes Pardini, e atualmente na Loft. Henrique é formado em Engenharia de Controle e Automação pela UFMG e pós graduando em Ciência de Dados pela FURG.",['WD'],programação
71,nico-figueiredo,Nicolas,Dias Figueiredo,Tmljb2xhcyBEaWFzIDE1NTcwIDcyOTEw.jpeg,Tmljb2xhcyBEaWFzIDE1NTcwIDc3MDA5IGNvbXA=.jpeg,CAIXA,UX Lead e Coordenador de Projetos,"UX Lead e Coordenador de Projetos com experiência de quase 20 anos na CAIXA, já tendo atuando em diversos projetos, Nico é formado em economia pela UNB e possui MBA em Design de Interação e User Experience pelo Instituto de Gestão e Tecnologia da Informação e em Finanças pelo IBMEC.","['UX', 'PM']",design
72,dariel-yamil-corrales-cuenca,Dariel,Yamil,RGFyaWVsIFlhbWlsIENvcnJhbGVzIEN1ZW5jYSAxMzQxMiA1NzgwMg==.png,RGFyaWVsIFlhbWlsIENvcnJhbGVzIEN1ZW5jYSAxMzQxMiA1Nzk5MSBjb21w.png,Way2 Tecnologia,Coordenador Desenvolvimento,"Coordenador de desenvolvimento com experiência em empresas como Way2 Technology,  Invillia e Newhotel Check-In, Dariel é formado em 
Ciências da Computação, Engenharia de Software pela Universidad de las Ciencias Informáticas.",['WD'],programação
73,victor-ogeda,Victor,Ogeda,VmljdG9yIE9nZWRhIDEyMzEwIDczODc2.jpeg,VmljdG9yIE9nZWRhIDEyMzEwIDM4MDEzIGNvbXA=.png,Rocket Science,CEO,"Empreendedor, formado em Marketing e especialista em Gestão de Projetos (PSPO, PSM). Experiência em +40 projetos. Gosto de orientar novos empreendedores no mercado brasileiro! Se quiser criar um produto, abrir uma empresa e até mesmo montar um pitch para investidores me manda um oi!",['PM'],gestão de produtos
74,rafael-bombana,Rafael,Bombana,UmFmYWVsIEJvbWJhbmEgMjIyMjggMzAwNDY=.jpeg,UmFmYWVsIEJvbWJhbmEgMjIyMjggOTM0OTEgY29tcA==.png,Noh,Designer,"Founding designer na Noh e Brand Partner na Gorilla Power, com experiência em empresas como Intuit, Enjoei e Tembici.",['UX'],design
75,thamys-abrahao,Thamys,Abrahão,VGhhbXlzIEFicmFow6NvIDI3OTM1IDY5NjIx.jpeg,VGhhbXlzIEFicmFow6NvIDI3OTM1IDQzNDQ1IGNvbXA=.png,PicPay,Data Scientist Specialist | Coordinator na PicPay,"Data Scientist Specialist com experiência em empresas como Picpay, IBM e Passei Direto, Thamys é graduada pela UERJ e possui doutorado em Física de Partículas pela PUCRJ.",['DS'],ciência de dados
76,marianna-kinuyo,Marianna,Kinuyo,TWFyaWFubmEgS2ludXlvIDkyMTUgOTA5Njk=.jpeg,TWFyaWFubmEgS2ludXlvIDE1NCA2ODc3X2FkbQ==.jpeg,Cora,Engenheira de Software Front-End ,"Engenheira de Software Front-End com um diferencial pela experiência adquirida com design UX e UI, Marianna Passou por empresas como: RCKT, Nexo Jornal e Cora e é formada em Arquitetura e Urbanismo pela USP.",['WD'],programação
77,arthur-de-almeida,Arthur,de Almeida,QXJ0aHVyIGRlIEFsbWVpZGEgNDAxNDUgMzEwMzA=.jpeg,QXJ0aHVyIGRlIEFsbWVpZGEgNDAxNDUgNDY5MzggY29tcA==.jpeg,Will Bank,MLOps Manager,"Gerente de MLOps, com experiência em empresas como AVEVA, Dasa e Will bank, Arthur é formada em Banco de Dados pela Uninove e possui MBA em IA e Machine Learning pela FIAP.",['DS'],ciência de dados
78,joao-marcos-gris,João,Gris,Sm/Do28gTWFyY29zIEdyaXMgMzk3NjAgNjIxNjQ=.jpeg,Sm/Do28gTWFyY29zIEdyaXMgMzk3NjAgNDcxMDkgY29tcA==.jpeg,Clicampo,Tech Lead,"Tech Lead na Clicampo, previamente na VTEX como engenheiro de software e gerente de engenharia. João Gris é formado em engenharia da computação pelo IME. Possui experiência em desenvolvimento web full-stack, sistemas distribuídos e machine learning.",['WD'],programação
79,alex-ivonika,Alex,Ivonika,QWxleCBJdm9uaWthIDI0MCAzODYxIGFkbQ==.jpeg,QWxleCBJdm9uaWthIDI0MCAxMzA3MF9hZG0=.jpeg,,Group Product Manager,"Group Product Manager, com experiência em empresas como Agrosmart, Beblue Brasil e Abril, Alex é formado em Marketing e possui especializações diversas pela FIAP, ESPM e PUCRS.",['PM'],gestão de produtos
80,murilo-fernandes,Murilo,Fernandes,TXVyaWxvIEZlcm5hbmRlcyAxNTQ5NyAxOTAxNg==.jpeg,TXVyaWxvIEZlcm5hbmRlcyAxNTQ5NyAyMDg4NyBjb21w.jpeg,Vagas.com,Product designer Especialista,"Product Designer Especialista com experiência em empresas como Vagas.com, Natura, Futurum Capital e ZAP+, Murilo é formado em Design digital e pós -graduado em gerenciamento de projetos e especialista em produto digital e product discovery.
","['UX', 'PM']",design
81,renicius-pagotto,Renicius,Pagotto,UmVuaWNpdXMgUGFnb3R0byAyOTgxMiAyNjM0Mg==.jpeg,UmVuaWNpdXMgUGFnb3R0byAyOTgxMiA5NDgyNyBjb21w.png,Thoughtworks,Senior Software Engineer,"Senior Software Engineer, com experiência em empresas como Thoughtworks, XP Inc. e Dextra, Renicius é formado em Ciência da Computação pela UNIP e possui MBA em Arquitetura de Software Distribuído pela PUC Minas.",['WD'],programação
82,amanda-farias,Amanda,Farias,QW1hbmRhIEZhcmlhcyAzMDEyNiAxNjA4MQ==.jpeg,QW1hbmRhIEZhcmlhcyAzMDEyNiAyOTkzOCBjb21w.jpeg,Natura & Co,Product Owner (Manager) Senior,"Senior Product Owner/Manager, com experiência de seis anos em produtos digitais em empresas como Natura & Co, Grupo ZAP e Menu (atual Bees), Porto Seguro, Amanda é formada em Propaganda e Marketing, possui Pós Graduação em Negócios em mídias digitais pela FMU. Além da certificação de CSPO,  também se formou em Product Management e Growth pela PM3.",['PM'],gestão de produtos
83,patricia-goncalves,Patrícia,Gonçalves,UGF0csOtY2lhIEdvbsOnYWx2ZXMgMjc4MiA3MzY5OA==.png,UEFUUsONQ0lBIEdPTsOHQUxWRVMgMjc4MiA5NjA0NyBjb21w.jpeg,CocriarSe School,Mentora de Carreiras da Awari,"Especialista em Gestão e Inovação de Carreiras e Lideranças, com mais de 25 anos de experiência no mercado empresarial, incluindo 15 anos em Tecnologia da Informação, Gestão de Pessoas e Desenvolvimento Profissional, com ampla bagagem profissional à frente de desenvolvimento de people skills, projetos, produtos estratégicos, processos e de crescimento organizacional de grandes marcas, no Brasil e inclusive, fora do Brasil. Curiosa, apaixonada por ensinar, inovar, quebrar paradigmas e transformar pessoas comuns em pessoas extraordinárias a partir da jornada de carreira modelada e orientada  para o alcance do objetivo do profissional. Master Coaching e Mentora de Carreiras e Lideranças. Fundadora e CEO da CocriarSe School.
No meu tempo livre pratico o ""daytoxe-se"", ou seja, me desconecto das telas e me conecto com os livros (ler e escrever), caminhadas e pedaladas em meio à natureza, viagens, família, amigos, maratonar filmes e séries e dançar. 
Vem comigo nessa jornada e decole em sua carreira!
",['CONSULTANT'],carreira
84,bruno-silva,Bruno,Silva,QnJ1bm8gU2lsdmEgMTc4ODMgODg2Mzc=.jpeg,QnJ1bm8gU2lsdmEgMTc4ODMgNzMyODggY29tcA==.png,adidas,Senior Product Manager,"Senior Product Manager, com experiência em empresas como adidas, Localiza e Just Eat Takeaway, Bruno é formado em Engenharia de Produção/Civil pelo CEFET MG e possui MBA em Inovação e Gestão de Negócios pela FIA.",['PM'],gestão de produtos
85,willian-gaudencio,Willian,Gaudencio,V2lsbGlhbiBHYXVkZW5jaW8gNDEzMDYgOTY4NzY=.jpeg,,PicPay,Software Engineer,"Senior Software Engineer, com experiência em empresas como PicPay, Oi S.A e Climatempo, Willian possui Especialização em Arquitetura de Software Distribuído pela PUC Minas.",['WD'],programação
86,aline-santos,Aline,Santos,QWxpbmUgU2FudG9zIDI1Nzc4IDEzMzM=.jpeg,QWxpbmUgU2FudG9zIDgxIDczOTgyIGFkbQ==.jpeg,Ifood,Hr Team Leader ,"Tenho 16 anos de experiência na área de RH e já tive a oportunidade de atuar em diversas empresas como Heineken, Ambev, Seara e hoje, estou como Hr Team Leader no Ifood.  Sou pós graduada em Coaching e Liderança e estou à disposição para te ajudar.   

E aí, bora?",['CONSULTANT'],carreira
87,felipe-borges,Felipe,Borges,RmVsaXBlIEJvcmdlcyAzNzkgODkxNjk=.jpeg,RmVsaXBlIEJvcmdlcyAzNzkgMTk0MTkgY29tcA==.png,Raia Drogasil,Designer Lead,"Designer Lead com experiência em empresas como Raia Drogasil, DogHero e AdvoHelp, Felipe é formado em Desenho Industrial pela FAAP.","['UX', 'PM']",design
88,humberto-cavalcante,Humberto,Cavalcante,SHVtYmVydG8gQ2F2YWxjYW50ZSAyNDE5NyA3OTA5MA==.jpeg,SHVtYmVydG8gQ2F2YWxjYW50ZSAyNDE5NyAxNTk2MSBjb21w.png,iFood,Senior Product Designer,"Senior Product Designer com experiência em empresas como Ifood,  Banco BV, CI&T e Claro Brasil, Humberto é formado pela UNESP e pós-graduado em Neurociência e Comportamento pela PUCRS.","['UX', 'PM']",design
89,heitor-pilotto,Heitor,Pilotto,SGVpdG9yIFBpbG90dG8gMzQ5MjcgNTM2MDI=.jpeg,SGVpdG9yIFBpbG90dG8gMzQ5MjcgNjE4ODUgY29tcA==.jpeg,americanas s.a.,Senior Data Analyst," Senior Data Analyst com experiência em empresas como pela Americanas S.A.a, Itaú Unibanco e AMARO. De formação, Heitor é Bacharel em Física pela Universidade de São Paulo.",['DS'],ciência de dados
90,alexandre-beirith,Alexandre,Beirith,QWxleGFuZHJlIEJlaXJpdGggMTMwIDQxMTU4IGFkbQ==.jpeg,QWxleGFuZHJlIEJlaXJpdGggMTMwIDI4ODkzX2FkbQ==.jpeg,Loft,Senior Product Manager na Loft,"Senior Product Manager com experiência em empresas como Loft, RD Station e Oi S.A, Alexandre é formado em Sistemas de Informação pela UFSC e MBA em Liderança e Gestão Empresarial.",['PM'],gestão de produtos
91,rodolfo-pernambuco,Rodolfo,Pernambuco,Um9kb2xmbyBQZXJuYW1idWNvIDE3ODg4IDE1NzEx.png,Um9kb2xmbyBQZXJuYW1idWNvIDE3ODg4IDE0MTk0IGNvbXA=.png,BEES | AB-InBev,Product Manager,"Product Manager, com experiência em empresas como Petrobras e AB-InBev, Rodolfo é formado em Engenharia de Automação e Controle pela UNISAL e possui MBA em Gestão de Projetos pela USP e certificação profissional em Product Growth pela PM3.",['PM'],gestão de produtos
92,carolina-ruff,Carolina,Ruff,Q2Fyb2xpbmEgUnVmZiA3MDAgMTA4Mzg=.png,Q2Fyb2xpbmEgUnVmZiA3MDAgNTY0ODUgY29tcA==.png,Accenture,UX Specialist,"User Experience Designer Specialist com experiência em empresas como Accenture Brasil, Timepix Interactive Studio e How Bootcamps, Carolina é formada e pós-graduada pela Universidade Santa Cecília. ",['UX'],design
93,matheus-rocha,Matheus,Rocha,TWF0aGV1cyBSb2NoYSA0MDk2OCA0OTg1NA==.png,TWF0aGV1cyBSb2NoYSA0MDk2OCA5NzU2MyBjb21w.png,Nubank,Analytics Engineer,"Analytics Engineer no Nubank, com 5 anos de experiência na área de Dados, tendo passado por Data Science, Data Analytics e Data Engineering. 

Também tenho experiência com empreendedorismo e liderança, tendo fundado minha primeira Startup com 20 anos, e liderado a área de Dados e I.A na Eventials e V-Lab.

Venho trabalhando em projetos grandes e desafiadores, seja como empreendedor, colaborador e freelancer. 

De tecnologia, eu amo Python e SQL, mas ultimamente tenho escrito muito em Scala e Spark. 
",['DS'],ciência de dados
94,diego-andriolo,Diego,Andriolo,RGllZ28gQW5kcmlvbG8gMzc0IDc3MjI0.jpeg,RGllZ28gQW5kcmlvbG8gMzc0IDEzNTgwIGNvbXA=.jpeg,Bees - Anheuser-Busch Inbev,Global Product Manager,"Engenheiro com mais de 5 anos de experiência em empresas de tecnologia, com passagens em startups early stage até Big Techs globais (99/Didi e Bees - part of AB-Inbev). Gosto muito de ler, escrever e conhecer novas culturas (já morei na Hungria).",['PM'],gestão de produtos
95,anderson-cordeiro,Anderson,Cordeiro,QW5kZXJzb24gQ29yZGVpcm8gMjAyNDEgNzQwOTE=.jpeg,QW5kZXJzb24gQ29yZGVpcm8gMjAyNDEgNDc0NzIgY29tcA==.jpeg,Globo,Cientista de Dados Sênior,"Cientista de Dados Sr no Grupo Globo, faz parte do time do Gato Mestre (Cartola FC). É aluno de Doutorado na UFRJ (Redes Complexas) e Mestre em Modelagem Computacional pela UERJ. Trabalha com dados desde 2011, é professor e pesquisador.",['DS'],ciência de dados
96,eduardo-melo,Eduardo,Melo,RWR1YXJkbyBNZWxvIDMwODg1IDc3NTM1.jpeg,RWR1YXJkbyBNZWxvIDMwODg1IDM5NDc3IGNvbXA=.png,Nomah,Data Analytics Manager,"Data Analytics Manager, com experiência em empresas como Sebrae/MG, Méliuz e Take Blip, é formado em Administração de empresas pela PUC/MG, possui MBA Consultoria Organizacional pela UNA e Pós graduado em Ciência de Dados e Big Data pela PUC/MG.

Possui vasta experiência em gestão de projetos de dados, gestão de pessoas e de negócios, planejamento estratégico, definição e monitoramento de KPIs, data visualization, metodologias ágeis, OKR e carreiras em dados.",['DS'],ciência de dados
97,pedro-goncalves,Pedro,Gonçalves,UGVkcm8gR29uw6dhbHZlcyAzNjIgMzgwNzU=.jpeg,UGVkcm8gR29uw6dhbHZlcyAzNjIgNjY5MTIgY29tcA==.jpeg,Lojas Riachuelo,"Tech Lead, Data Science & ML Ops","Cientista de dados com +5 anos de experiência em diferentes projetos de ciência de dados aplicada à grandes empresas como Claro, Vivo, Santander e HP, Pedro é formado em Sistemas de Informação pela FIAP e hoje atua como Líder de Ciência de Dados e Operações de Machine Learning (MLOps) nas Lojas Riachuelo.",['DS'],ciência de dados
98,joao-vitor-silva,João,Vitor Silva,Sm/Do28gVml0b3IgU2lsdmEgNDEyOTEgMTE5MzU=.jpeg,Sm/Do28gVml0b3IgU2lsdmEgNDEyOTEgNjg2IGNvbXA=.png,PicPay,Senior Data Scientist,"Senior Data Scientist, com experiência em empresas como Syngenta, Mercado Pago e PicPay, João é formado em Estatística pela UFU e possui Mestrado em Estatística e Experimentação Agronômica pela ESALQ/USP.",['DS'],ciência de dados
99,evilanne-brandao,Evilanne,Brandão,RXZpbGFubmUgQnJhbmTDo28gMTExMjMgODQ3NzI=.jpeg,RXZpbGFubmUgQnJhbmTDo28gMTExMjMgNDAwMDUgY29tcA==.png,Nubank,Product Designer,"Olá! Em 2018, mudei minha carreira do Direito para o Design. Atualmente, sou Product Designer no Nubank. Minhas experiências anteriores foi como Product Designer Consultant na Vinta Software, que é uma consultoria de produtos focada no mercado norte-americano e também já tive passagem por fintechs brasileiras, como PicPay e Vindi.

Adoro entender as necessidades das pessoas, traduzindo os resultados de pesquisas em soluções de design para ajudar as empresas a criar produtos digitais significativos. Além disso, sou um entusiasta do design para impacto social e estou sempre aprendendo sobre como o design molda um futuro melhor.",['UX'],design
100,eliana-xavier,Eliana,Xavier,RWxpYW5hIFhhdmllciAyOTUwMyAxNjU0Nw==.jpeg,RWxpYW5hIFhhdmllciA3MTIgMzA5NDVfYWRt.jpeg,ZUP INNOVATION ,Business partner ,"Senior Business Partner, com experiência em empresas como Stefanini, Youcom (Lojas Renner) e Zup Innovation, Eliana é formada em Gestão de Recursos Humanos pela UNIP e possui MBA em Gestão Estratégica de Pessoas pela UNIP e uma extensão em Consultoria Interna de RH pela PUC.",['CONSULTANT'],carreira
101,gustavo-aguilar,Gustavo,Aguilar,R3VzdGF2byBBZ3VpbGFyIDI3OTUwIDQ3MDUw.jpeg,R3VzdGF2byBBZ3VpbGFyIDI3OTUwIDQwNzM0IGNvbXA=.png,Oi,Database Tech Lead,"Database Tech Lead com experiência em grandes empresas de Telecom, como Oi e Telemig Celular, Gustavo é formado em Ciência da Computação pela PUC Minas, pós-graduado em Administração de Sistemas Gerenciadores de Banco de Dados, com uma especialização em Docência do Ensino Superior, MBA em Ciência de Dados e um mestrado em andamento na área da Educação com ênfase em TIC (Tecnologias da Informação e Comunicação) aplicadas ao ensino.

Em termos de certificações técnicas, Gustavo é instrutor oficial Microsoft (MCT) e possui as certificações abaixo:

Microsoft Technology Associate (MTA) - Database Fundamentals
Microsoft Technology Associate (MTA) - Database Administration Fundamentals
Microsoft Certified Professional (MCP)
Microsoft Certified Solutions Associate (MCSA) SQL Server 2012/2014
Microsoft Certified Solutions Expert (MCSE) Data Management & Analytics
Microsoft Certified: Azure Fundamentals
Microsoft Certified: Azure Data Fundamentals
Microsoft Certified: Azure Database Administrator Associate
Google Cloud Digital Leader
Google Associate Cloud Engineer 
Oracle Cloud Infrastructure Foundations Certified Associate
ITIL Foundation V3 - EXIN

Como profissional na área da Educação há mais de 10 anos, coordena cursos de pós-graduação (MBA em Cloud Computing, MBA em Arquitetura de Software & Soluções e MBA em Engenharia de Software Ágil), cursos de graduação (Tecnólogo em Banco de Dados e Tecnólogo em Computação em Nuvem) e Bootcamps (Analista de Banco de Dados, Arquiteto Cloud Computing, Arquiteto de Software, Arquiteto de Soluções, Engenheiro de Software Ágil, Profissional AWS Cloud Computing e Profissional Azure Cloud Computing).

Além de coordenador, Gustavo atua também como professor nas seguintes disciplinas:

- Introdução a Bancos de Dados;
- Introdução a Computação em Nuvem;
- Aplicações com Linguagem SQL;
- Soluções de Armazenamento, Banco de Dados e Analytics no Azure;
- Gerenciamento de Bancos de Dados Distribuídos;
- Persistência e Pesquisa de Dados;
- Princípios de Sistemas Distribuídos;
- Arquitetura de Dados Escaláveis;
- Performance & Otimização em Bancos Relacionais e NOSQL.

Já como profissional de Tecnologia da Informação, possui mais de 20 anos de experiência na área de banco de dados. Com grande vivência em administração de ambientes de missão crítica em diversas plataformas, sizes e topologias, atua como líder de equipe e especialista em banco de dados. Consultor nas áreas de Modelagem, Arquitetura e Engenharia de Dados, Bancos de Dados, Cloud Computing e Treinamento, possui possui interesse nas seguintes áreas / tecnologias: 

- Administração de Bancos de Dados SQL Server, CosmosDB, Cassandra, CouchDB, MongoDB, MySQL, Sybase, PostgreSQL, Teradata, etc.;
- Banco de Dados Real Time; 
- Big Data;
- Cloud Computing (Azure, AWS, GCP e OCI);
- Modelagem e Análise de Dados;
- Arquitetura e Engenharia de Dados;
- Pesquisa Indexada de Dados;
- Sistemas Distribuídos;
- Governança de TI: ITIL, Agile e DevOps;
- Liderança e Gerência de Equipe;
- Gerência de Projetos.",['DS'],ciência de dados
